Timestamp,CPU_Usage,RAM_Usage,Disk_Usage,GPU_Usage
2025-12-26,17:00:39,10,48,"180.3 Kbps","33.1 Kbps","0 KB/s","31.8 KB/s"
2025-12-26,17:00:43,10,48,"178.1 Kbps","32.4 Kbps","15.8 KB/s","3.1 MB/s"
2025-12-26,17:00:44,11,48,"9.4 Kbps","1.2 Kbps","0 KB/s","587.7 KB/s"
2025-12-26,17:00:47,13,48,"23.0 Kbps","14.7 Kbps","0 KB/s","3.1 MB/s"
2025-12-26,17:00:49,15,48,"23.1 Kbps","14.8 Kbps","0 KB/s","51.8 KB/s"
2025-12-26,17:00:52,17,48,"9.7 Kbps","2.5 Kbps","0 KB/s","219.2 KB/s"
2025-12-26,17:00:53,14,48,"9.8 Kbps","2.5 Kbps","0 KB/s","127.1 KB/s"
2025-12-26,17:00:57,16,48,"21.3 Kbps","2.4 Kbps","4.4 KB/s","32.1 KB/s"
2025-12-26,17:00:58,17,48,"28.7 Kbps","3.2 Kbps","0 KB/s","3.1 MB/s"
2025-12-26,17:01:01,11,48,"36.2 Kbps","14.0 Kbps","4.4 KB/s","83.5 KB/s"
2025-12-26,17:01:03,10,48,"28.8 Kbps","13.1 Kbps","0 KB/s","346.7 KB/s"
2025-12-26,17:01:06,10,48,"14.8 Kbps","1.1 Kbps","4.5 KB/s","3.1 MB/s"
2025-12-26,17:01:07,10,48,"19.6 Kbps","1.7 Kbps","0 KB/s","138.3 KB/s"
2025-12-26,17:01:11,11,48,"32.0 Kbps","2.9 Kbps","0 KB/s","43.6 KB/s"
2025-12-26,17:01:12,11,48,"35.2 Kbps","2.9 Kbps","0 KB/s","79.0 KB/s"
2025-12-26,17:01:15,13,48,"17.5 Kbps","1.6 Kbps","15.7 KB/s","20.9 MB/s"
2025-12-26,17:01:17,12,48,"14.4 Kbps","1.3 Kbps","4.5 KB/s","44.2 KB/s"
2025-12-26,17:01:20,12,48,"18.0 Kbps","2.7 Kbps","0 KB/s","0 KB/s"
2025-12-26,17:01:21,12,48,"13.4 Kbps","2.5 Kbps","4.5 KB/s","32.2 KB/s"
2025-12-26,17:01:25,12,48,"12.4 Kbps","14.8 Kbps","0 KB/s","0 KB/s"
2025-12-26,17:01:26,12,48,"12.4 Kbps","14.8 Kbps","593.2 KB/s","3.1 MB/s"
2025-12-26,17:01:29,10,48,"51.3 Kbps","3.0 Kbps","0 KB/s","0 KB/s"
2025-12-26,17:01:31,9,48,"53.8 Kbps","3.3 Kbps","20.0 KB/s","3.1 MB/s"
2025-12-26,17:01:34,11,48,"33.4 Kbps","24.6 Kbps","0 KB/s","3.3 MB/s"
2025-12-26,17:01:35,15,48,"50.9 Kbps","64.6 Kbps","0 KB/s","490.0 KB/s"
2025-12-26,17:01:39,16,48,"46.9 Kbps","73.4 Kbps","0 KB/s","3.2 MB/s"
2025-12-26,17:01:40,12,48,"27.0 Kbps","33.0 Kbps","0 KB/s","0 KB/s"
2025-12-26,17:01:43,13,48,"13.5 Kbps","7.2 Kbps","0 KB/s","360.4 KB/s"
2025-12-26,17:01:45,16,48,"202.3 Kbps","40.3 Kbps","0 KB/s","0 KB/s"
2025-12-26,17:01:48,13,48,"201.2 Kbps","35.8 Kbps","0 KB/s","4.0 KB/s"
2025-12-26,17:01:49,11,48,"9.8 Kbps","2.3 Kbps","0 KB/s","4.0 KB/s"
2025-12-26,17:01:53,12,48,"9.3 Kbps","1.2 Kbps","0 KB/s","111.7 KB/s"
2025-12-26,17:01:54,14,48,"9.5 Kbps","1.4 Kbps","0 KB/s","3.6 MB/s"
2025-12-26,17:01:57,21,48,"9.9 Kbps","2.1 Kbps","4.5 KB/s","3.1 MB/s"
2025-12-26,17:01:59,21,48,"9.6 Kbps","2.4 Kbps","0 KB/s","209.9 KB/s"
2025-12-26,17:02:02,22,48,"9.3 Kbps","2.4 Kbps","4.5 KB/s","3.1 MB/s"
2025-12-26,17:02:03,22,48,"9.5 Kbps","1.7 Kbps","0 KB/s","166.9 KB/s"
2025-12-26,17:02:07,17,49,"27.5 Kbps","13.0 Kbps","4.5 KB/s","20.4 KB/s"
2025-12-26,17:02:08,17,49,"49.2 Kbps","41.6 Kbps","88.0 KB/s","696.3 KB/s"
2025-12-26,17:02:11,15,49,"32.0 Kbps","33.3 Kbps","0 KB/s","0 KB/s"
2025-12-26,17:02:13,12,49,"10.0 Kbps","4.4 Kbps","0 KB/s","75.7 KB/s"
2025-12-26,17:02:16,11,48,"9.8 Kbps","17.5 Kbps","0 KB/s","0 KB/s"
2025-12-26,17:02:17,11,48,"10.5 Kbps","17.9 Kbps","4.5 KB/s","3.8 MB/s"
2025-12-26,17:02:21,11,48,"10.6 Kbps","1.9 Kbps","0 KB/s","0 KB/s"
2025-12-26,17:02:22,10,48,"9.9 Kbps","1.7 Kbps","4.5 KB/s","3.1 MB/s"
2025-12-26,17:02:25,10,48,"9.2 Kbps","0.7 Kbps","0 KB/s","0 KB/s"
2025-12-26,17:02:27,10,48,"9.4 Kbps","0.7 Kbps","0 KB/s","0 KB/s"
2025-12-26,17:02:30,9,48,"9.6 Kbps","2.0 Kbps","0 KB/s","3.1 MB/s"
2025-12-26,17:02:31,10,48,"20.0 Kbps","8.0 Kbps","0 KB/s","39.9 KB/s"
2025-12-26,17:02:35,12,48,"27.9 Kbps","9.4 Kbps","0 KB/s","31.9 KB/s"
2025-12-26,17:02:36,13,48,"39.7 Kbps","18.9 Kbps","0 KB/s","95.5 KB/s"
2025-12-26,17:02:39,12,48,"34.6 Kbps","17.5 Kbps","0 KB/s","32.0 KB/s"
2025-12-26,17:02:41,10,48,"14.5 Kbps","3.5 Kbps","0 KB/s","15.7 MB/s"
2025-12-26,17:02:44,11,48,"18.8 Kbps","4.2 Kbps","0 KB/s","925.1 KB/s"
2025-12-26,17:02:45,10,48,"16.0 Kbps","2.2 Kbps","0 KB/s","0 KB/s"
2025-12-26,17:02:49,10,48,"19.7 Kbps","2.1 Kbps","0 KB/s","135.6 KB/s"
2025-12-26,17:02:50,11,48,"24.3 Kbps","2.6 Kbps","0 KB/s","87.8 KB/s"
2025-12-26,17:02:53,12,48,"13.6 Kbps","1.2 Kbps","0 KB/s","3.1 MB/s"
2025-12-26,17:02:55,13,48,"9.4 Kbps","0.9 Kbps","0 KB/s","116.0 KB/s"
2025-12-26,17:02:58,13,48,"23.0 Kbps","1.6 Kbps","116.4 KB/s","3.1 MB/s"
2025-12-26,17:02:59,15,48,"23.3 Kbps","2.1 Kbps","0 KB/s","28.0 KB/s"
2025-12-26,17:03:02,22,48,"18.8 Kbps","2.7 Kbps","4.5 KB/s","626.7 KB/s"
2025-12-26,17:03:04,26,48,"18.8 Kbps","1.9 Kbps","0 KB/s","4.0 KB/s"
2025-12-26,17:03:07,26,48,"14.0 Kbps","0.3 Kbps","2.2 MB/s","38.2 KB/s"
2025-12-26,17:03:08,22,48,"14.4 Kbps","1.3 Kbps","0 KB/s","111.1 KB/s"
2025-12-26,17:03:12,14,48,"15.3 Kbps","15.7 Kbps","0 KB/s","0 KB/s"
2025-12-26,17:03:13,11,48,"14.8 Kbps","14.4 Kbps","4.5 KB/s","6.6 MB/s"
2025-12-26,17:03:16,13,48,"10.6 Kbps","1.4 Kbps","0 KB/s","0 KB/s"
2025-12-26,17:03:17,13,48,"10.5 Kbps","1.4 Kbps","4.4 KB/s","3.1 MB/s"
2025-12-26,17:03:21,10,48,"0.0 Kbps","0.8 Kbps","0 KB/s","128.0 KB/s"
2025-12-26,17:03:22,13,48,"0.3 Kbps","1.3 Kbps","0 KB/s","3.5 MB/s"
2025-12-26,17:03:25,16,48,"5.6 Kbps","1.3 Kbps","0 KB/s","0 KB/s"
2025-12-26,17:03:27,13,48,"5.6 Kbps","1.2 Kbps","0 KB/s","31.8 KB/s"
2025-12-26,17:03:30,12,48,"0.5 Kbps","4.9 Kbps","0 KB/s","3.1 MB/s"
2025-12-26,17:03:31,13,48,"0.3 Kbps","5.6 Kbps","0 KB/s","64.0 KB/s"
2025-12-26,17:03:34,10,49,"0.2 Kbps","8.7 Kbps","63.7 KB/s","3.3 MB/s"
2025-12-26,17:03:36,13,49,"31.5 Kbps","17.5 Kbps","0 KB/s","87.9 KB/s"
2025-12-26,17:03:39,15,49,"160.0 Kbps","85.6 Kbps","0 KB/s","186.9 KB/s"
